,ic
2021-07-28,0.35329620524376887
2021-07-29,0.3718277618361196
2021-07-30,0.02114906659158526
2021-08-02,0.3960869123273961
2021-08-03,0.5083269473763733
2021-08-04,0.7159122080597984
2021-08-05,0.572794170279155
2021-08-06,0.26417607694274503
2021-08-09,-0.11240216621176104
2021-08-10,-0.17673219819464428
2021-08-11,-0.25779769411261266
2021-08-12,-0.397950884244416
2021-08-13,-0.025298270504357012
2021-08-16,-0.17704556479456768
2021-08-17,-0.010503923388575864
2021-08-18,-0.16002139937300844
2021-08-19,-0.11429055933635529
2021-08-20,0.17433847490690108
2021-08-23,0.5414556908141209
2021-08-24,0.1529714649706621
2021-08-25,0.5618993763879805
2021-08-26,0.4378091206901489
2021-08-27,0.4376262912316551
2021-08-30,0.2773481004843913
2021-08-31,0.3388569223207184
2021-09-01,0.23715102601664106
2021-09-02,-0.08217293468005868
2021-09-03,-0.030515342296688952
2021-09-07,-0.04640221755242683
2021-09-08,-0.12264890362012607
2021-09-09,-0.05802960614532187
2021-09-10,0.013003327810550261
2021-09-13,-0.32078579301516885
2021-09-14,-0.4068713502261931
2021-09-15,-0.2613481783500603
2021-09-16,-0.43128876899267676
2021-09-17,-0.11822854507713079
2021-09-20,0.08443374899488501
2021-09-21,-0.07600783116285803
2021-09-22,-0.1938523002533009
2021-09-23,-0.4031757986911156
2021-09-24,-0.32532661476153424
2021-09-27,-0.5222078299231907
2021-09-28,-0.27625223501570495
2021-09-29,-0.1368707035175205
2021-09-30,0.024315928143141242
2021-10-01,0.22790110564444424
2021-10-04,0.8031091516888771
2021-10-05,0.841200647073342
2021-10-06,0.6479322439676771
2021-10-07,0.5410638751584799
2021-10-08,0.7222374617232528
2021-10-11,0.614709533988373
2021-10-12,0.4483713817581501
2021-10-13,0.47914263241866345
2021-10-14,0.4137429916011979
2021-10-15,0.3330078834357851
2021-10-18,0.6415867792169249
2021-10-19,0.8476758290964777
2021-10-20,0.6711535569679343
2021-10-21,0.36238855042855167
2021-10-22,0.3966226826645492
2021-10-25,0.4248690499217873
2021-10-26,0.33625132954773446
2021-10-27,0.3419345222175564
2021-10-28,0.39473118152930425
2021-10-29,0.25417360091288693
2021-11-01,0.2123600097621647
2021-11-02,0.2903020267016579
2021-11-03,0.41343525964749706
2021-11-04,0.5656205295578692
2021-11-05,0.5897408051796968
2021-11-08,0.2804475889100853
2021-11-09,0.40168852304577474
2021-11-10,0.438797544162555
2021-11-11,0.20801454633085947
2021-11-12,0.32631849565677506
2021-11-15,0.4346546127594386
2021-11-16,0.024213537059964478
2021-11-17,0.2284265717331746
2021-11-18,0.15550857250905603
2021-11-19,-0.3399104840517838
2021-11-22,-0.22467401123519748
2021-11-23,-0.25323912787608904
2021-11-24,-0.42102969264859824
2021-11-26,-0.47649848693481645
2021-11-29,-0.31305034540955556
2021-11-30,-0.2744504247700173
2021-12-01,-0.12320216055552413
2021-12-02,0.21191974435068042
2021-12-03,-0.41621189320691243
2021-12-06,-0.33836933683205894
2021-12-07,-0.01272011681918328
2021-12-08,-0.1512229927352095
2021-12-09,0.3211913496221162
2021-12-10,0.4640508733758255
2021-12-13,0.5794341423747745
2021-12-14,0.26023010629945253
2021-12-15,-0.30126723269239886
2021-12-16,-0.0830072719880973
2021-12-17,0.41886461970392513
2021-12-20,0.22097297043636455
2021-12-21,-0.5699242471629138
2021-12-22,-0.5028478075964249
2021-12-23,-0.5303067624238617
2021-12-27,-0.6530892846077005
2021-12-28,-0.5288657324245271
2021-12-29,-0.3623044707561832
2021-12-30,-0.5371627739213665
2021-12-31,-0.42520694756818145
2022-01-03,-0.209405355476703
2022-01-04,-0.3921391233553498
2022-01-05,-0.43329427293350414
2022-01-06,-0.7419374294145735
2022-01-07,-0.7290256674088833
2022-01-10,-0.7980546300716915
2022-01-11,-0.9138589160516308
2022-01-12,-0.7935020976756562
2022-01-13,-0.6294141730979044
2022-01-14,-0.28092234158489204
2022-01-18,-0.30910049478276713
2022-01-19,-0.20324666840972397
2022-01-20,0.02701979002220703
2022-01-21,0.34711368989198876
2022-01-24,0.4680254009956062
2022-01-25,0.3232449926948749
2022-01-26,0.4802354654496749
2022-01-27,0.5098646760398247
2022-01-28,0.4497329845914112
2022-01-31,0.5113055147093412
2022-02-01,0.594421596441432
2022-02-02,0.2663748516779722
2022-02-03,0.009984697065453463
2022-02-04,-0.23447525808063474
2022-02-07,-0.24960911032391592
2022-02-08,-0.20413700627247205
2022-02-09,-0.024286219940224077
2022-02-10,-0.031945859193511894
2022-02-11,-0.3638144697579956
2022-02-14,-0.28338064273309044
2022-02-15,-0.37020421772879814
2022-02-16,-0.2342185225127798
2022-02-17,-0.1706921253458831
2022-02-18,0.009704198583133317
2022-02-22,-0.1805195160460997
2022-02-23,-0.4507473907145243
2022-02-24,-0.17640652873857024
2022-02-25,-0.40715550409706236
2022-02-28,-0.2709583289983373
2022-03-01,-0.39716534389702307
2022-03-02,-0.6603580406698485
2022-03-03,-0.597235306629701
2022-03-04,-0.5731072212922195
2022-03-07,-0.48009622101286364
2022-03-08,-0.33440688690366677
2022-03-09,-0.6885200993229226
2022-03-10,-0.15669423768150065
2022-03-11,-0.22205291845011838
2022-03-14,-0.1537569136949282
2022-03-15,-0.1632548382900435
2022-03-16,-0.39098488614539506
2022-03-17,-0.6571890190900725
2022-03-18,-0.676785597918564
2022-03-21,-0.37994178575075677
2022-03-22,-0.49452942623820895
2022-03-23,-0.4485376301659957
2022-03-24,-0.4302690130595785
2022-03-25,-0.3347307021783749
2022-03-28,-0.0743202555085132
2022-03-29,0.08246408537337466
2022-03-30,0.10274718809222563
2022-03-31,-0.046603747901256015
2022-04-01,0.012077581218622402
2022-04-04,0.4914246895875286
2022-04-05,0.310727277081027
2022-04-06,0.6033715307317973
2022-04-07,-0.017493861905431812
2022-04-08,0.30323374141282566
2022-04-11,0.14005359401146272
2022-04-12,-0.27737197235074135
2022-04-13,-0.5830220189226348
2022-04-14,-0.46829651975752784
2022-04-18,-0.5192161577306702
2022-04-19,-0.49905366142766194
2022-04-20,0.003035909516995852
2022-04-21,0.04315826272317991
2022-04-22,-0.18391525485728494
2022-04-25,-0.7989063961129788
2022-04-26,-0.5130250640845438
2022-04-27,-0.3605234499768366
2022-04-28,0.09412005813455354
2022-04-29,-0.03229988418372459
2022-05-02,-0.12182987143619398
