,alpha_ann
2022-07-07,-0.13578748251961123
2022-07-08,-0.11689102671037474
2022-07-11,-0.09340047734107243
2022-07-12,-0.08121180572380401
2022-07-13,-0.08943830004796663
2022-07-14,-0.09710835016064043
2022-07-15,-0.11477325886501002
2022-07-18,-0.11722568568170975
2022-07-19,-0.07916865174242434
2022-07-20,-0.09215668101448957
2022-07-21,-0.08369441674674966
2022-07-22,-0.08866564822120868
2022-07-25,-0.09908239090998011
2022-07-26,-0.11119208241531912
2022-07-27,-0.11407045648362764
2022-07-28,-0.09100812378449218
2022-07-29,-0.04198470784611548
2022-08-01,-0.009494169442186397
2022-08-02,-0.03894982388364508
2022-08-03,-0.03412142289797667
2022-08-04,-0.014558344018254402
2022-08-05,-0.06221695032076483
2022-08-08,-0.052068796570797306
2022-08-09,-0.055809248935445026
2022-08-10,-0.06008174038515918
2022-08-11,-0.03232309418419943
2022-08-12,-0.03401236063919158
2022-08-15,-0.03028768785632771
2022-08-16,-0.018210583401379883
2022-08-17,-0.009961694237750477
2022-08-18,-0.0627095272472583
2022-08-19,-0.051693036595203135
2022-08-22,-0.06330916228787531
2022-08-23,-0.06257762033025872
2022-08-24,-0.025365374494511844
2022-08-25,-0.008797057712331977
2022-08-26,-0.0031063856480852536
2022-08-29,-0.0346552283476068
2022-08-30,-0.0195978880023883
2022-08-31,-0.021935979010590575
2022-09-01,-0.014906135951549675
2022-09-02,0.006526523191526955
2022-09-06,0.04263893492647518
2022-09-07,0.058522613315282405
2022-09-08,0.0844288176590755
2022-09-09,0.07749595103604028
2022-09-12,0.09075649728131023
2022-09-13,0.11587708961363553
2022-10-17,0.17051999712477475
2022-10-18,0.17178747837372815
2022-10-19,0.164095026385766
2022-10-20,0.1304934183179711
2022-10-21,0.12368825699318782
2022-10-24,0.12043996923843678
2022-10-25,0.07841671436161377
2022-10-26,0.0661246734269193
2022-10-27,0.05942221997854586
2022-10-28,0.200592746386772
2022-10-31,0.20208513345146506
2022-11-01,0.18751522520597677
2022-11-02,0.1805080021895407
2022-11-03,0.23454828551987802
2022-11-04,0.2551150023960663
2022-12-23,0.26834420417663957
2022-12-27,0.26401899262513057
2022-12-28,0.2771161774533332
2022-12-29,0.2833419453400819
2022-12-30,0.2757870296498308
2023-01-03,0.27799625974898845
2023-01-04,0.2732311997223812
2023-01-05,0.2636253403907209
2023-01-06,0.23616168613227156
2023-01-09,0.21350054639106747
2023-01-10,0.2352804451690895
2023-01-11,0.22078615791172768
2023-01-12,0.2396164582875559
2023-01-13,0.24629819249956977
2023-01-17,0.2612689973091783
2023-01-18,0.19937196747124514
2023-01-19,0.1381566639108822
2023-01-20,0.15501777065656233
2023-01-23,0.1213296048365905
2023-01-24,0.11773840066293786
2023-01-25,0.16087708816300805
2023-01-26,0.17615624667299395
2023-01-27,0.15617850178658507
2023-01-30,0.1276190812309225
2023-01-31,0.057953891223443646
2023-02-01,0.08990100780043522
2023-02-02,0.08496921366963911
2023-04-10,0.15898273092839055
2023-04-11,0.17426448045298953
2023-04-12,0.1543880377653854
2023-04-13,0.20054152357563093
2023-04-14,0.23351130460047823
2023-04-17,0.2445255421631155
2023-05-05,0.2524335948200047
2023-05-08,0.22072360970800992
2023-05-09,0.21832939860635198
2023-05-10,0.23337111252003584
2023-05-11,0.23681595902854927
2023-05-12,0.22219810800353476
2023-05-15,0.21392278039168958
2023-05-16,0.1947023287467774
2023-05-17,0.18207214343095637
2023-05-18,0.07040412057584931
2023-05-19,0.01854652650704846
2023-05-22,0.011182415070150983
2023-05-23,-0.019536927159176154
2023-05-24,-0.023859600261694112
2023-05-25,-0.05705284480473894
2023-05-26,-0.14657272261749338
2023-05-30,-0.2635841437288747
2023-05-31,-0.18473717348311558
2023-06-01,-0.0971679347226855
2023-06-02,-0.13817588144436913
2023-06-05,-0.11861113385110492
2023-06-06,-0.11082257597056482
2023-06-07,-0.1143243447235023
2023-06-08,-0.12835000596299184
2023-06-09,-0.09535343268551309
2023-06-12,0.0258147319731807
2023-06-13,0.036191025334305245
2023-06-14,0.03837830700346799
2023-06-15,0.020071079639523922
2023-06-16,0.04618835604375974
2023-06-20,0.04401991632473283
2023-06-21,0.01689970945289515
2023-06-22,0.01711389505969825
2023-06-23,0.032849989333341045
2023-06-26,0.02541213046461123
2023-06-27,0.061214205255444264
2023-06-28,0.06670362295094898
2023-06-29,0.048684990996766556
2023-06-30,0.05445184330479041
2023-07-03,0.018961867486298165
2023-07-05,0.00048317745166937855
2023-07-06,0.007548223994854161
2023-07-07,0.04851406560752962
2023-07-10,0.07400918965918103
2023-07-11,0.07325000522390189
2023-07-12,0.004922389279554993
2023-07-13,-0.04833277755500756
2023-07-14,-0.09188025890542101
2023-07-17,-0.04360013564559486
2023-07-18,-0.059324790829421124
2023-07-19,-0.10985936848734515
2023-07-20,-0.07013775187187905
2023-07-21,-0.06497291400154598
2023-07-24,-0.02354817927524979
2023-07-25,0.04813446197761778
2023-07-26,0.012804318252021208
2023-07-27,0.03358292511224407
2023-07-28,0.03661063824592415
2023-07-31,0.05448835720927027
2023-08-01,0.08260292592519629
2023-08-02,0.10328891810618158
2023-08-03,0.1210345697510771
2023-08-04,0.03736831064474374
2023-08-07,0.07064243336465327
2023-08-08,0.023455758679933797
2023-08-09,0.021853136071994406
2023-08-10,0.02120226510965246
2023-08-11,0.11394460759084299
2023-08-14,0.15761035472662946
2023-08-15,0.13592323318641025
2023-08-16,0.1333286754477614
2023-08-17,0.15302988960652605
2023-08-18,0.1417533852167196
2023-08-21,0.14979776136235357
2023-08-22,0.10646075033289573
2023-08-23,0.06750389156455719
2023-08-24,0.046272347416202994
2023-08-25,0.08272455248606354
2023-08-28,0.18928845588909984
2023-08-29,0.1641168676432905
2023-08-30,0.1738160828965501
2023-08-31,0.1592156929406157
2023-09-01,0.14817037821334628
2023-09-05,0.14658247041794764
2023-09-06,0.19063619374000504
2023-09-07,0.1550419079177765
2023-09-08,0.09881799870173064
2023-09-11,0.0450369668119411
2023-09-12,0.07157580820732261
2023-09-13,0.12679925647228846
2023-09-14,0.13464138898312228
2023-09-15,0.1335377472914244
2023-09-18,0.10765121740151601
2023-09-19,0.07499213621991144
2023-09-20,0.06378317032436537
2023-10-31,0.09617483598666343
2023-11-01,0.10069358982735031
2023-11-02,0.08387464526322568
2023-11-03,0.06142483425753889
2023-11-06,0.1061295787584188
2023-11-07,0.10595494662632626
2023-11-08,0.15279932129822965
2023-11-09,0.15945573151777076
2023-11-10,0.1415066179233948
2023-11-13,0.1694859837785866
2023-11-14,0.1134366331268971
2023-11-15,0.1497085362195293
2023-11-16,0.09687769942748799
2023-11-17,0.043415104647143904
2023-11-20,0.09019501426369246
2023-11-21,0.14354226208603757
2023-11-22,0.12120111365543224
2023-11-24,0.11086146759908003
2023-11-27,0.1269890971140909
2023-11-28,0.1167711480258591
2023-11-29,0.09788313619227458
2023-11-30,0.09936458425775986
2023-12-01,0.1479850349030758
2023-12-04,0.07028364358205741
2023-12-05,0.00956526870126689
2023-12-06,-0.1032025421504176
2023-12-07,-0.13101725086072732
2023-12-08,-0.10229894786172626
2023-12-11,-0.08538424745797257
2023-12-12,-0.08336003216949532
2023-12-13,-0.09148943344734074
2023-12-14,-0.060647924362739504
2023-12-15,-0.028581413431408517
2023-12-18,-0.029999240190221994
2023-12-19,-0.007340816361278642
2023-12-20,-0.017735719527267296
2023-12-21,-0.053660738240964755
2023-12-22,-0.0018306857671381831
2023-12-26,-0.0024334767595886675
2023-12-27,0.023334309427589316
2023-12-28,0.041470975208085833
2023-12-29,0.030990274837935358
2024-01-02,0.049213873386206676
2024-01-03,0.040151188097483026
2024-01-04,0.04902291901017673
2024-01-05,0.08341365708439571
2024-01-08,0.1273983363052673
2024-03-14,0.29117524218709495
2024-03-15,0.1826876075395193
2024-03-18,0.12835550354000047
2024-03-19,0.15472060572250793
2024-03-20,0.12458868499817845
2024-03-21,0.10038412901791974
2024-03-22,0.08633334893095226
2024-03-25,0.10382627134163228
2024-03-26,0.10931027049311168
2024-03-27,0.12708368227692576
2024-03-28,0.17546944971002792
2024-04-01,0.151715661182793
2024-04-02,0.17510522726679567
2024-04-03,0.16763763033069376
2024-04-04,0.13608013832535626
2024-04-05,0.14888613519232766
2024-04-08,0.1644898226163296
2024-04-09,0.14145669248900308
2024-04-10,0.1538799443012914
2024-04-11,0.12566923749634762
2024-04-12,0.122880989324816
2024-04-15,0.1368611308957687
2024-04-16,0.07723001283675153
2024-04-17,0.1047573967516555
2024-04-18,0.12066970710075417
2024-04-19,0.11886495463302789
2024-04-22,0.09259497020712165
2024-04-23,0.08741135408783317
2024-04-24,0.10352190467621114
2024-04-25,0.136803044844814
2024-04-26,0.17263439952921958
2024-04-29,0.19029628257046474
2024-04-30,0.12925300502436737
2024-05-01,0.11926830153666304
2024-05-02,0.12302457693053878
2024-05-03,0.05734405885946322
2024-05-06,0.06996878783980308
2024-05-07,0.0462707455882632
2024-05-08,0.04023928489134422
2024-05-09,0.03585885247218178
2024-05-10,0.0338890457783633
2024-05-13,0.026885638462908194
2024-05-14,0.013767299713020605
2024-05-15,-0.04230666857661088
2024-05-16,-0.030487190389246358
2024-05-17,-0.03158097240973006
2024-05-20,0.040223136718830294
2024-05-21,0.032477778975076144
2024-05-22,0.03202376842743671
2024-05-23,0.010585108453893845
2024-05-24,0.0061838317570847776
2024-05-28,-0.0236238570943344
2024-05-29,-0.05154008037669767
2024-05-30,-0.01683719230701513
2024-05-31,0.024234280136364507
2024-06-03,-0.11360815784971158
2024-06-04,-0.13039320292501155
2024-06-05,-0.14781781103482336
2024-06-06,-0.11202954625436752
2024-06-07,-0.12238887983326649
2024-06-10,-0.08985853468449083
2024-06-11,-0.16219927855633012
2024-06-12,-0.2269599950729399
2024-06-13,-0.20742546814597604
2024-06-14,-0.22107175352947966
2024-06-17,-0.1814654620287933
2024-06-18,-0.2248974545639694
2024-06-20,-0.24389281865122497
2024-06-21,-0.17589339527332165
2024-06-24,-0.18515910795906618
2024-06-25,-0.09817727447285618
2024-06-26,-0.11568428339793752
2024-06-27,-0.11773768676835558
2024-06-28,-0.12217792763124842
2024-07-01,-0.13979254747205033
2024-07-02,-0.1341905379581391
2024-07-03,-0.16158942263072537
2024-07-05,-0.16422303488964832
2024-07-08,-0.1723919776002179
2024-07-09,-0.16880680186710728
2024-07-10,-0.17339965896310008
2024-07-11,-0.16331616776662541
2024-07-12,-0.10963978685012254
2024-07-15,-0.12413499411845694
2024-07-16,-0.1472685834448093
2024-07-17,-0.12059841272068092
2024-07-18,-0.12942997094601544
2024-07-19,-0.14477188211940079
2024-07-22,-0.12778199264508097
2024-07-23,-0.1261241466021095
2024-07-24,-0.14567778893220726
2024-07-25,-0.11523844604561798
2024-07-26,-0.03930331854611661
2024-07-29,-0.05182059351316143
2024-07-30,-0.07365868342262581
2024-09-03,-0.013917365930821364
2024-09-04,-0.001901170397946261
2024-09-05,-0.009041597808946193
2024-09-06,0.006378868251873076
2024-09-09,0.02268975734678087
2024-09-10,0.005061314166632466
2024-09-11,-0.012999819731776274
2024-09-12,0.028499609542715236
2024-09-13,0.04394072486444014
2024-09-16,0.08852479994534346
2024-09-17,0.09619634397472931
2024-09-18,0.10704505856942571
2024-09-19,0.10959634056948955
2024-09-20,0.09057191290481802
2024-09-23,0.0837413670654611
2024-09-24,0.05714568335904389
2024-09-25,0.05542396799390806
2024-09-26,0.06995430921713143
2024-09-27,0.051190399873943755
2024-09-30,0.08289817110408441
2024-10-01,0.08312422742418787
2024-10-02,0.05094359720450046
2024-10-03,0.04927899319329237
2024-10-04,0.04866321440872529
2024-10-07,0.03254067349513411
2024-10-08,0.016962277877246763
2024-10-09,0.029789017026188087
2024-10-10,0.0625820981219233
2024-10-11,0.06261995135488968
2024-10-14,0.016081435793229473
2024-10-15,-0.012791813628621364
2024-10-16,-0.10970518013314033
2024-10-17,-0.13253629271565973
2024-10-18,-0.13217661500713412
2024-10-21,-0.13907096947281847
2024-10-22,-0.15940071254887506
2024-10-23,-0.13948177128519162
2024-10-24,-0.1570023262776307
2024-10-25,-0.15290190972165613
2024-10-28,-0.1451497379965894
2024-10-29,-0.1905918030368887
2024-10-30,-0.2311588548693931
2024-10-31,-0.23408575063311307
2024-11-01,-0.24811039389704803
2024-11-04,-0.2990403221726929
2024-11-05,-0.27064044992768316
2024-11-06,-0.2934321357836797
2024-11-07,-0.3045728301526983
2024-11-08,-0.3182501866513974
2024-11-11,-0.3370238274524582
2024-11-12,-0.3367149686907173
2024-11-13,-0.3496404453797401
2024-11-14,-0.34129020383544467
2024-11-15,-0.3017834698823819
2024-11-18,-0.305077867114101
2024-11-19,-0.28852361911008984
2024-11-20,-0.29290151103891043
2024-11-21,-0.3384031367207323
2024-11-22,-0.36005803637675876
2024-11-25,-0.355492963718027
2024-11-26,-0.34122407378274905
2024-11-27,-0.4055954725132561
2024-11-29,-0.3945829844178171
2024-12-02,-0.37531342902373355
2024-12-03,-0.3663833269801077
2024-12-04,-0.3350881505979232
2024-12-05,-0.48935552642630104
2024-12-06,-0.4955386819270814
2024-12-09,-0.5110952501673163
2024-12-10,-0.4371004893944609
2024-12-11,-0.4535018539056784
2024-12-12,-0.4649507357300744
2024-12-13,-0.4593708288709095
2024-12-16,-0.5526882813219844
2024-12-17,-0.5489196834148585
2024-12-18,-0.4539627656961705
2024-12-19,-0.47737162859048415
2024-12-20,-0.5130175789850717
2024-12-23,-0.5396801236042195
2024-12-24,-0.4815812558186448
2024-12-26,-0.488873681796381
2024-12-27,-0.5145013781007869
2024-12-30,-0.49066891559425907
2024-12-31,-0.5074262580989256
2025-01-02,-0.4902687991466798
2025-01-03,-0.5415395371284332
2025-01-06,-0.44079516843277006
2025-01-07,-0.41025981475952095
2025-01-08,-0.36448598217142325
2025-01-10,-0.41941495971009624
2025-01-13,-0.3916392894949254
2025-01-14,-0.4098039076150456
2025-01-15,-0.40579153081863234
2025-01-16,-0.3937429854560306
2025-01-17,-0.44272280380260215
2025-01-21,-0.46167888661643686
2025-01-22,-0.44926778363029357
2025-01-23,-0.39047425813415354
2025-01-24,-0.3737722635335622
2025-01-27,-0.4201297116318475
2025-01-28,-0.2658200763803941
2025-01-29,-0.28153226255765884
2025-01-30,-0.3149806600017104
2025-01-31,-0.3595333092261802
2025-02-03,-0.392866707781699
2025-02-04,-0.42399429182281306
2025-02-05,-0.37785508810357116
2025-02-06,-0.42882166348457257
2025-02-07,-0.4894522672777373
2025-02-10,-0.42235263414821933
2025-02-11,-0.45493268995624575
2025-02-12,-0.40642361664384763
2025-02-13,-0.400554765751736
2025-02-14,-0.3541266605134325
2025-02-18,-0.3961928926060484
2025-02-19,-0.35875729355750274
2025-02-20,-0.3994850926626403
2025-02-21,-0.3357414020899313
2025-02-24,-0.3621068099838839
2025-02-25,-0.3299616614369526
2025-03-11,-0.30989679833275996
2025-03-12,-0.2755601894594443
2025-03-13,-0.19298583934072164
2025-03-14,-0.2180007184999761
2025-03-17,-0.24355954292057033
2025-03-18,-0.2051066381394701
2025-03-19,-0.251785954040014
2025-03-20,-0.19895697080714547
2025-03-21,-0.19526608060012793
2025-03-24,-0.20209764433437133
2025-03-25,-0.16366799255694078
2025-03-26,-0.17192344499566772
2025-03-27,-0.2276992493646523
2025-03-28,-0.2774567134020019
2025-03-31,-0.30114770845439404
2025-04-01,-0.34077984267079364
2025-04-02,-0.31929217951738836
2025-04-03,-0.33518552294214227
2025-04-04,-0.41144282570242413
2025-04-07,-0.4616327137250204
2025-04-08,-0.41759888005927015
2025-04-09,-0.4246851071556095
2025-04-10,-0.3052543665159222
2025-04-11,-0.38950656052010335
2025-04-14,-0.4097750984638083
2025-04-15,-0.4486387118315625
2025-04-16,-0.4073598669262197
2025-04-17,-0.41312637431697674
2025-04-21,-0.41589870298578085
2025-04-22,-0.4586229603069412
2025-04-23,-0.4356400167255914
2025-04-24,-0.3676163118536696
2025-04-25,-0.35346673240859156
2025-04-28,-0.36209330487657043
2025-04-29,-0.3535674134902792
2025-04-30,-0.33671801271843965
2025-05-01,-0.35084104812696587
2025-05-02,-0.1707052168562347
2025-05-05,-0.13754262861261438
2025-05-06,-0.1607771742187529
2025-05-07,-0.17638738449346755
2025-05-08,-0.2552953196781353
2025-05-09,-0.24291898624828615
2025-05-12,-0.18766482342357876
2025-05-13,-0.16227483301465917
2025-05-14,-0.15868159025290507
2025-05-15,-0.15218200899308917
2025-05-16,-0.16573539617911515
2025-05-19,-0.16186750316125356
2025-05-20,-0.1918089445477894
2025-05-21,-0.17043160765789023
2025-05-22,-0.17997974254797258
2025-05-23,-0.09695557373101941
2025-05-27,-0.10639660852347375
2025-05-28,-0.04229774373169082
