,rank_ic
2022-01-25,0.24168163157672945
2022-01-26,0.484062401173084
2022-01-27,0.37324869205811934
2022-01-28,0.2504506552138783
2022-01-31,0.4483369397365416
2022-02-01,0.4483369397365416
2022-02-02,0.007042428152039987
2022-02-03,-0.006993006993006993
2022-02-04,-0.24168163157672945
2022-02-07,-0.19264477879304523
2022-02-08,-0.12676370673671977
2022-02-09,0.03152369107522559
2022-02-10,-0.10489510489510491
2022-02-11,-0.1751316170845866
2022-02-14,-0.16083916083916086
2022-02-15,-0.059544749808759435
2022-02-16,-0.3076923076923077
2022-02-17,-0.16783216783216784
2022-02-18,0.04895104895104895
2022-02-22,-0.1958041958041958
2022-02-23,-0.378284292902707
2022-02-24,-0.15384615384615385
2022-02-25,-0.30069930069930073
2022-02-28,-0.21678321678321683
2022-03-01,-0.4125874125874127
2022-03-02,-0.6129606597960531
2022-03-03,-0.46153846153846156
2022-03-04,-0.5639238070123688
2022-03-07,-0.364914527027702
2022-03-08,-0.26970269031026334
2022-03-09,-0.4929699706427991
2022-03-10,-0.26269742562687987
2022-03-11,-0.24247085798902754
2022-03-14,-0.1174563179317042
2022-03-15,-0.1366026613259775
2022-03-16,-0.3846153846153847
2022-03-17,-0.7132867132867133
2022-03-18,-0.795097541564023
2022-03-21,-0.5174825174825175
2022-03-22,-0.5986063929233989
2022-03-23,-0.39930008695285735
2022-03-24,-0.3719321140859271
2022-03-25,-0.2451842639184212
2022-03-28,-0.04195804195804196
2022-03-29,0.013986013986013986
2022-03-30,-0.055944055944055944
2022-03-31,0.027972027972027972
2022-04-01,-0.055944055944055944
2022-04-04,0.3916083916083916
2022-04-05,0.2377622377622378
2022-04-06,0.5594405594405596
2022-04-07,0.17162898474289487
2022-04-08,0.30069930069930073
2022-04-11,0.1398601398601399
2022-04-12,-0.21678321678321683
2022-04-13,-0.5034965034965035
2022-04-14,-0.3076923076923077
2022-04-18,-0.5174825174825175
2022-04-19,-0.4055944055944056
2022-04-20,0.013986013986013986
2022-04-21,0.042031588100300776
2022-04-22,-0.05253948512537597
2022-04-25,-0.6865159389715795
2022-04-26,-0.34965034965034975
2022-04-27,-0.28070348232900155
2022-04-28,0.18181818181818185
2022-04-29,-0.2253577008652796
2022-05-02,-0.07017587058225039
2022-05-03,-0.15061319069274445
2022-05-04,-0.2937062937062937
2022-05-05,-0.23076923076923078
2022-05-06,-0.2027972027972028
2022-05-09,0.1328671328671329
2022-05-10,0.43782904271146644
2022-05-11,0.12959739664259406
2022-05-12,-0.05253948512537597
2022-05-13,-0.10507897025075194
2022-05-16,-0.1258741258741259
2022-05-17,0.23117373455165427
2022-05-18,0.02097902097902098
2022-05-19,0.1398601398601399
2022-05-20,0.1398601398601399
2022-05-23,0.08391608391608392
2022-05-24,0.14685314685314685
2022-05-25,0.04195804195804196
2022-05-26,-0.04895104895104895
2022-05-27,0.11188811188811189
2022-05-31,0.1891421464513535
2022-06-01,0.11558686727582713
2022-06-02,0.2517482517482518
2022-06-03,0.6013986013986015
2022-06-06,0.4545454545454546
2022-06-07,0.3887921899277822
2022-06-08,0.3943759765142393
2022-06-09,0.3706293706293707
2022-06-10,-0.1751316170845866
2022-06-13,-0.469352733786692
2022-06-14,-0.3356643356643357
2022-06-15,-0.3916083916083916
2022-06-16,-0.31468531468531474
2022-06-17,-0.13684294763538826
2022-06-21,0.07719345764047543
2022-06-22,0.034965034965034975
2022-06-23,-0.06293706293706294
2022-06-24,-0.07692307692307693
2022-06-27,0.22377622377622378
2022-06-28,-0.12959739664259406
2022-06-29,-0.1751316170845866
2022-06-30,-0.07760442837613131
2022-07-01,-0.1690182756489597
2022-07-05,0.37324869205811934
2022-07-06,0.6223776223776225
2022-07-07,0.535902748278835
2022-07-08,-0.22377622377622378
2022-07-11,0.01751316170845866
2022-07-12,0.15384615384615385
2022-07-13,0.3636363636363637
2022-07-14,0.34965034965034975
2022-07-15,0.5244755244755246
2022-07-18,0.18881118881118883
2022-07-19,0.1331000289842858
2022-07-20,-0.04895104895104895
2022-07-21,0.3922948222694739
2022-07-22,0.04895104895104895
2022-07-25,0.16783216783216784
2022-07-26,0.10489510489510491
2022-07-27,-0.04195804195804196
2022-07-28,0.1328671328671329
2022-07-29,0.43782904271146644
